Municipality,County,Year,Total Residential Electricity,Total Residential Natural Gas
Cresskill borough,Bergen,2016,34434069,3855025
Cresskill borough,Bergen,2017,32982710,4073039
Cresskill borough,Bergen,2018,35131887,4504768
Cresskill borough,Bergen,2019,33330501,4389866
Cresskill borough,Bergen,2020,35614827,4080426
Cresskill borough,Bergen,2021,35577973,4257042
Deal borough,Monmouth,2015,17267849,1401864
Deal borough,Monmouth,2018,17757461,1496739
Deal borough,Monmouth,2019,17563380,1436690
Deal borough,Monmouth,2020,21013293,1621044
Deal borough,Monmouth,2021,20700543,1661393
Deerfield township,Cumberland,2015,9506747,383479
Deerfield township,Cumberland,2016,9077131,346192
Deerfield township,Cumberland,2017,8607155,357325
Deerfield township,Cumberland,2018,11816227,425595
